 ,name,region,district,difficulty,duration_days,max_altitude_m,min_altitude_m,total_distance_km,cost_min_usd,cost_max_usd,best_season,requires_permit,permit_type,permit_cost_usd,requires_guide,accommodation_type,cultural_score,nature_score,adventure_score,fitness_required,technical_skill,teahouse_available,camping_required,helicopter_rescue,nearest_hospital_km,route_type,avg_daily_walking_hrs,elevation_gain_m,elevation_loss_m,water_sources,mobile_network,atm_available,description,data_source
169,Yak Kharka to Thorong Phedi,Annapurna,Manang,Moderate,1,4540,4110,8,80,160,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.4,0.85,0.7,Moderate,Basic,Yes,No,Yes,45,Point-to-point,4,430,430,Moderate,Limited,No,Final camp before Thorong La,NTNC-ACAP
170,Thorong La Crossing,Annapurna,Manang|Mustang,Hard,1,5416,3800,22,100,200,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.6,0.92,0.88,High,Intermediate,Yes,No,Yes,50,Point-to-point,8,876,876,Limited,Limited,No,Highest point of Annapurna Circuit,NTNC-ACAP
171,Muktinath to Jomsom,Annapurna,Mustang,Easy,1,2720,3800,18,80,160,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.8,0.75,0.45,Low,Basic,Yes,No,Yes,38,Point-to-point,5,1080,1080,Abundant,Good,Yes,Descent through Kali Gandaki,NTNC-ACAP
172,Jomsom to Kagbeni,Annapurna,Mustang,Easy,1,2800,2720,10,80,160,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.85,0.75,0.4,Low,Basic,Yes,No,Yes,35,Point-to-point,4,80,80,Abundant,Good,Yes,Gateway to Upper Mustang,NTNC-ACAP
173,Kagbeni to Chele,Mustang,Mustang,Moderate,1,3050,2800,15,200,400,Spring|Autumn,Yes,Restricted Area Permit,500,Yes,Lodge,0.85,0.78,0.55,Moderate,Basic,Yes,No,Yes,42,Point-to-point,5,250,250,Moderate,Limited,No,First day in Upper Mustang,NTNC-ACAP
174,Chele to Syangboche,Mustang,Mustang,Moderate,1,3475,3050,14,200,400,Spring|Autumn,Yes,Restricted Area Permit,500,Yes,Lodge,0.8,0.8,0.6,Moderate,Basic,Yes,No,Yes,48,Point-to-point,5,425,425,Moderate,Limited,No,Through eroded canyons,NTNC-ACAP
175,Syangboche to Ghami,Mustang,Mustang,Moderate,1,3520,3475,12,200,400,Spring|Autumn,Yes,Restricted Area Permit,500,Yes,Lodge,0.85,0.78,0.55,Moderate,Basic,Yes,No,Yes,52,Point-to-point,5,45,45,Moderate,Limited,No,Ancient mani walls and cave dwellings,NTNC-ACAP
176,Ghami to Tsarang,Mustang,Mustang,Moderate,1,3560,3520,14,200,400,Spring|Autumn,Yes,Restricted Area Permit,500,Yes,Lodge,0.9,0.78,0.55,Moderate,Basic,Yes,No,Yes,55,Point-to-point,5,40,40,Moderate,Limited,No,To former capital of Mustang,NTNC-ACAP
177,Tsarang to Lo Manthang,Mustang,Mustang,Moderate,1,3840,3560,18,200,400,Spring|Autumn,Yes,Restricted Area Permit,500,Yes,Lodge,0.95,0.75,0.55,Moderate,Basic,Yes,No,Yes,60,Point-to-point,6,280,280,Moderate,Limited,No,To walled capital of Mustang Kingdom,NTNC-ACAP
178,Lo Manthang Exploration,Mustang,Mustang,Easy,2,3900,3800,20,200,400,Spring|Autumn,Yes,Restricted Area Permit,500,No,Lodge,0.98,0.72,0.45,Low,Basic,Yes,No,Yes,62,Loop,4,100,100,Moderate,Limited,No,Exploring monasteries and caves,NTNC-ACAP
179,Nyphu Cave Trek,Mustang,Mustang,Moderate,1,4020,3840,12,150,300,Spring|Autumn,Yes,Restricted Area Permit,500,No,None,0.9,0.75,0.55,Moderate,Basic,No,No,Yes,63,Out-and-back,5,180,180,Moderate,Limited,No,Ancient meditation caves,NTNC-ACAP
180,Chosar Exploration,Mustang,Mustang,Easy,1,3900,3840,10,120,250,Spring|Autumn,Yes,Restricted Area Permit,500,No,None,0.85,0.72,0.45,Low,Basic,No,No,Yes,65,Out-and-back,4,60,60,Moderate,Limited,No,Cliff caves and sky burials site,NTNC-ACAP
181,Arughat to Soti Khola,Manaslu,Gorkha,Easy,1,730,600,18,80,160,Year-round,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.65,0.72,0.4,Low,Basic,Yes,No,Yes,25,Point-to-point,5,130,130,Abundant,Partial,Yes,Start of Manaslu Circuit,NTNC-MCAP
182,Soti Khola to Machha Khola,Manaslu,Gorkha,Easy,1,870,730,14,80,160,Year-round,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.6,0.75,0.45,Low,Basic,Yes,No,Yes,30,Point-to-point,5,140,140,Abundant,Partial,No,Through subtropical forest,NTNC-MCAP
183,Machha Khola to Jagat,Manaslu,Gorkha,Moderate,1,1340,870,18,80,160,Year-round,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.65,0.78,0.5,Moderate,Basic,Yes,No,Yes,35,Point-to-point,6,470,470,Abundant,Partial,No,Along Budhi Gandaki River,NTNC-MCAP
184,Jagat to Deng,Manaslu,Gorkha,Moderate,1,1860,1340,16,80,160,Spring|Autumn,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.7,0.8,0.55,Moderate,Basic,Yes,No,Yes,40,Point-to-point,6,520,520,Abundant,Partial,No,Entering restricted area,NTNC-MCAP
185,Deng to Namrung,Manaslu,Gorkha,Moderate,1,2660,1860,18,80,160,Spring|Autumn,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.75,0.82,0.6,Moderate,Basic,Yes,No,Yes,45,Point-to-point,6,800,800,Abundant,Limited,No,Tibetan Buddhist culture begins,NTNC-MCAP
186,Namrung to Samagaon,Manaslu,Gorkha,Moderate,1,3530,2660,20,80,160,Spring|Autumn,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.8,0.85,0.6,Moderate,Basic,Yes,No,Yes,50,Point-to-point,6,870,870,Abundant,Limited,No,Views of Manaslu North Face,NTNC-MCAP
187,Samagaon Rest Day,Manaslu,Gorkha,Easy,1,3850,3530,12,80,160,Spring|Autumn,Yes,Manaslu Conservation + TIMS,100,No,Teahouse,0.85,0.82,0.5,Low,Basic,Yes,No,Yes,52,Loop,4,320,320,Moderate,Limited,No,Acclimatization at Birendra Lake,NTNC-MCAP
188,Samagaon to Samdo,Manaslu,Gorkha,Moderate,1,3875,3530,15,80,160,Spring|Autumn,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.7,0.85,0.65,Moderate,Basic,Yes,No,Yes,55,Point-to-point,5,345,345,Moderate,Limited,No,Approaching Tibet border,NTNC-MCAP
189,Samdo to Dharamsala,Manaslu,Gorkha,Moderate,1,4460,3875,12,80,160,Spring|Autumn,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.4,0.88,0.72,Moderate,Basic,Yes,No,Yes,60,Point-to-point,5,585,585,Moderate,Limited,No,High camp before Larkya La,NTNC-MCAP
190,Larkya La Crossing,Manaslu,Gorkha,Hard,1,5160,2460,22,100,200,Spring|Autumn,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.35,0.92,0.88,High,Intermediate,Yes,No,Yes,65,Point-to-point,8,700,2700,Limited,None,No,Highest point of Manaslu Circuit,NTNC-MCAP
191,Bhimthang to Tilije,Manaslu,Gorkha,Easy,1,2300,2460,18,80,160,Spring|Autumn,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.65,0.8,0.5,Low,Basic,Yes,No,Yes,45,Point-to-point,5,160,160,Abundant,Partial,No,Descent through Dudh Khola valley,NTNC-MCAP
192,Tilije to Dharapani,Manaslu,Gorkha|Manang,Easy,1,1900,2300,15,80,160,Year-round,Yes,Manaslu Conservation + TIMS,100,Yes,Teahouse,0.6,0.78,0.45,Low,Basic,Yes,No,Yes,35,Point-to-point,5,400,400,Abundant,Partial,No,Connection to Annapurna Circuit,NTNC-MCAP
193,Tsum Valley Entrance Trek,Manaslu,Gorkha,Moderate,2,2400,1340,25,200,400,Spring|Autumn,Yes,Restricted Area + MCAP,35,Yes,Teahouse,0.85,0.8,0.5,Moderate,Basic,Yes,No,Yes,42,Point-to-point,5,1060,1060,Abundant,Limited,No,Entering sacred Tsum Valley,NTNC-MCAP
194,Chumling to Mu Gompa,Manaslu,Gorkha,Moderate,2,3700,2400,20,200,400,Spring|Autumn,Yes,Restricted Area + MCAP,35,Yes,Teahouse,0.95,0.82,0.55,Moderate,Basic,Yes,No,Yes,50,Out-and-back,5,1300,1300,Moderate,Limited,No,Ancient monastery at valley head,NTNC-MCAP
195,Rachen Gompa Trek,Manaslu,Gorkha,Moderate,1,3200,2800,10,120,250,Spring|Autumn,Yes,Restricted Area + MCAP,35,No,Teahouse,0.92,0.78,0.5,Moderate,Basic,Yes,No,Yes,48,Out-and-back,4,400,400,Moderate,Limited,No,Visit to famous nunnery,NTNC-MCAP
196,Piren Phu Cave Trek,Manaslu,Gorkha,Moderate,1,3500,3200,8,100,200,Spring|Autumn,Yes,Restricted Area + MCAP,35,No,None,0.9,0.75,0.55,Moderate,Basic,No,No,Yes,52,Out-and-back,4,300,300,Moderate,Limited,No,Milarepa's meditation cave,NTNC-MCAP
197,Ganesh Himal Base Camp,Ganesh Himal,Dhading|Rasuwa,Hard,14,4800,600,130,1300,2400,Spring|Autumn,No,TIMS only,20,Yes,Camping,0.65,0.9,0.78,High,Intermediate,Yes,Yes,Yes,45,Out-and-back,6,4200,4200,Moderate,Limited,No,Remote base camp trek,Nepal Tourism Board
198,Singla Pass Trek,Ganesh Himal,Dhading|Rasuwa,Very Hard,16,5200,600,150,1600,2800,Spring|Autumn,No,TIMS only,20,Yes,Camping,0.55,0.88,0.85,Very High,Intermediate,No,Yes,Yes,50,Traverse,7,4600,4600,Moderate,None,No,High pass to Langtang region,Nepal Tourism Board
199,Paldor Peak Approach,Ganesh Himal,Dhading,Hard,12,5200,600,110,1400,2500,Spring|Autumn,No,TIMS only,20,Yes,Camping,0.45,0.88,0.82,High,Intermediate,No,Yes,Yes,48,Out-and-back,6,4600,4600,Moderate,Limited,No,Approach to trekking peak,Nepal Tourism Board
200,Tipling Village Trek,Ganesh Himal,Dhading,Moderate,8,2800,600,70,700,1300,Spring|Autumn|Winter,No,TIMS only,20,No,Homestay,0.88,0.78,0.5,Moderate,Basic,Yes,No,Yes,35,Out-and-back,5,2200,2200,Abundant,Partial,No,Tamang cultural immersion trek,Nepal Tourism Board
201,Jumla to Rara Lake,Rara,Jumla|Mugu,Hard,8,3500,2370,75,800,1400,Spring|Autumn,Yes,National Park,3000,Yes,Camping,0.75,0.95,0.7,High,Intermediate,Yes,Yes,Yes,62,Loop,6,1130,1130,Abundant,Limited,No,Classic route to Nepal's largest lake,DNPWC
202,Mugu Karnali Valley Trek,Mugu,Mugu,Very Hard,18,4500,1200,180,2000,3500,Spring|Autumn,Yes,Restricted Area,50,Yes,Camping,0.65,0.92,0.85,Very High,Intermediate,No,Yes,Yes,68,Traverse,7,3300,3300,Moderate,None,No,Remote valley trek in far-west,MOCTCA
203,Humla Limi Valley Trek,Humla,Humla,Very Hard,21,4800,2000,200,2500,4500,Summer|Autumn,Yes,Restricted Area,50,Yes,Camping,0.78,0.88,0.8,Very High,Intermediate,No,Yes,Yes,72,Out-and-back,8,2800,2800,Moderate,None,No,Border region with Tibetan culture,MOCTCA
204,Khaptad National Park Trek,Khaptad,Doti|Bajhang|Bajura|Achham,Moderate,7,3300,1500,60,600,1100,Spring|Autumn,Yes,National Park,1500,No,Camping,0.82,0.85,0.55,Moderate,Basic,Yes,Yes,Yes,55,Loop,5,1800,1800,Abundant,Limited,No,Sacred highland meadows of far-west,DNPWC
205,Saipal Base Camp Trek,Far West,Bajhang,Very Hard,18,5000,1500,160,1800,3200,Spring|Autumn,Yes,Restricted Area,50,Yes,Camping,0.55,0.92,0.88,Very High,Intermediate,No,Yes,Yes,70,Out-and-back,7,3500,3500,Moderate,None,No,Remote approach to Saipal peak,Nepal Tourism Board
206,Api Base Camp Trek,Far West,Darchula,Very Hard,16,4500,1200,140,1600,3000,Spring|Autumn,Yes,Restricted Area,50,Yes,Camping,0.58,0.9,0.85,Very High,Intermediate,No,Yes,Yes,68,Out-and-back,7,3300,3300,Moderate,None,No,Northwest Nepal's highest peak approach,Nepal Tourism Board
207,Dhorpatan Hunting Reserve Trek,Dhorpatan,Baglung|Rukum|Myagdi,Hard,12,4500,2000,100,1100,2000,Spring|Autumn,Yes,Hunting Reserve,2000,Yes,Camping,0.62,0.88,0.72,High,Intermediate,Yes,Yes,Yes,58,Loop,6,2500,2500,Moderate,Limited,No,Nepal's only hunting reserve trek,DNPWC
208,Bardia National Park Walk,Bardia,Bardia,Easy,3,300,150,25,300,600,Oct-Mar,Yes,National Park,1500,Yes,Lodge,0.7,0.85,0.65,Low,None,Yes,Yes,No,22,Loop,3,150,150,Abundant,Good,Yes,Jungle walking safari in Terai,DNPWC
209,Koshi Tappu Bird Trail,Koshi Tappu,Sunsari,Easy,2,100,70,15,250,450,Nov-Feb,Yes,Wildlife Reserve,1500,Yes,Lodge,0.55,0.9,0.45,Low,None,Yes,Yes,No,18,Loop,2,30,30,Abundant,Good,Yes,Wetland bird watching trek,DNPWC
210,Phoksundo Lake Trail,Dolpo,Dolpa,Hard,12,3600,2200,95,1200,2200,Spring|Autumn,Yes,National Park,3000,Yes,Teahouse,0.8,0.95,0.75,High,Intermediate,Yes,Yes,Yes,55,Out-and-back,6,1400,1400,Moderate,Limited,No,Turquoise lake in Lower Dolpo,DNPWC
211,Upper Dolpo Circuit,Dolpo,Dolpa,Very Hard,25,5300,2200,240,3500,6000,Spring|Autumn,Yes,Restricted Area + National Park,500,Yes,Camping,0.85,0.9,0.88,Very High,Intermediate,No,Yes,Yes,75,Loop,9,3100,3100,Moderate,None,No,Remote Tibetan Buddhist region,MOCTCA
212,Shey Phoksundo Trek,Dolpo,Dolpa,Hard,16,4100,2200,130,1800,3200,Spring|Autumn,Yes,National Park,3000,Yes,Teahouse|Camping,0.82,0.92,0.78,High,Intermediate,Yes,Yes,Yes,60,Loop,7,1900,1900,Moderate,Limited,No,Extended Dolpo exploration,DNPWC
213,Kagbeni to Muktinath,Mustang,Mustang,Easy,1,3800,2800,8,80,150,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.95,0.78,0.45,Low,None,Yes,Yes,No,20,One-way,3,1000,1000,Moderate,Partial,Yes,Sacred pilgrimage day hike,NTNC-ACAP
214,Chuksang Cave Trek,Mustang,Mustang,Moderate,2,3400,2800,18,200,400,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.88,0.75,0.55,Moderate,Basic,Yes,No,Yes,35,Out-and-back,4,600,600,Moderate,Partial,No,Ancient sky cave exploration,NTNC-ACAP
215,Luri Cave Monastery Trek,Mustang,Mustang,Hard,4,3800,2800,35,400,800,Spring|Autumn,Yes,ACAP,3000,Yes,Teahouse,0.92,0.78,0.65,High,Basic,Yes,Yes,Yes,42,Out-and-back,5,1000,1000,Moderate,Limited,No,Hidden Buddhist cave monastery,NTNC-ACAP
216,Dhawalagiri Icefall Trek,Dhaulagiri,Myagdi,Very Hard,14,4700,1100,115,1500,2800,Spring|Autumn,No,TIMS only,20,Yes,Camping,0.45,0.92,0.9,Very High,Advanced,No,Yes,Yes,60,Out-and-back,7,3600,3600,Moderate,Limited,No,Close views of Dhaulagiri Icefall,Nepal Tourism Board
217,Hidden Valley Trek,Dhaulagiri,Myagdi|Mustang,Very Hard,18,5400,1100,150,2200,4000,Spring|Autumn,No,TIMS + ACAP,3020,Yes,Camping,0.48,0.9,0.92,Very High,Intermediate,No,Yes,Yes,65,Traverse,8,4300,4300,Moderate,None,No,Mystical valley behind Dhaulagiri,Nepal Tourism Board
218,Jomsom to Marpha Wine Trail,Mustang,Mustang,Easy,1,2700,2600,6,60,120,Spring|Autumn|Winter,Yes,ACAP,3000,No,Teahouse,0.9,0.72,0.4,Low,None,Yes,Yes,No,15,One-way,3,100,100,Abundant,Good,Yes,Apple orchards and local wine,NTNC-ACAP
219,Lubra Village Trail,Mustang,Mustang,Easy,2,3050,2700,14,120,250,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.92,0.75,0.48,Low,None,Yes,Yes,No,28,Loop,3,350,350,Abundant,Partial,Yes,Ancient Bon religion village,NTNC-ACAP
220,Tetang to Tangbe Trek,Mustang,Mustang,Moderate,1,3050,2700,10,100,200,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.88,0.72,0.52,Moderate,Basic,Yes,No,Yes,22,One-way,4,350,350,Moderate,Partial,Yes,Off-the-beaten-path Mustang villages,NTNC-ACAP
221,Sirubari Community Trek,Syangja,Syangja,Easy,3,1700,600,28,250,500,Year-round,No,None,0,No,Homestay,0.95,0.7,0.42,Low,None,Yes,Yes,No,20,Out-and-back,3,1100,1100,Abundant,Good,Yes,Pioneer community tourism village,Nepal Tourism Board
222,Ghalegaun Cultural Trek,Lamjung,Lamjung,Easy,4,2100,500,35,300,600,Year-round,No,None,0,No,Homestay,0.95,0.72,0.45,Low,None,Yes,Yes,No,22,Out-and-back,3,1600,1600,Abundant,Good,Yes,Model homestay tourism village,Nepal Tourism Board
223,Bandipur Heritage Trail,Tanahu,Tanahu,Easy,2,1030,500,18,200,400,Year-round,No,None,0,No,Lodge,0.92,0.68,0.4,Low,None,Yes,Yes,No,15,Loop,2,530,530,Abundant,Good,Yes,Preserved Newari hilltop town,Nepal Tourism Board
224,Nuwakot Heritage Trek,Nuwakot,Nuwakot,Easy,3,1500,600,25,250,500,Year-round,No,None,0,No,Homestay,0.9,0.7,0.42,Low,None,Yes,Yes,No,18,Loop,3,900,900,Abundant,Good,Yes,Historic palace and cultural sites,Nepal Tourism Board
225,Tansen Palpa Cultural Walk,Palpa,Palpa,Easy,2,1400,300,16,180,350,Year-round,No,None,0,No,Lodge,0.92,0.65,0.38,Low,None,Yes,Yes,No,12,Loop,2,1100,1100,Abundant,Good,Yes,Historic Magar kingdom capital,Nepal Tourism Board
226,Bhaktapur to Nagarkot Trek,Bhaktapur,Bhaktapur,Easy,1,2175,1400,12,80,150,Year-round,No,None,0,No,Lodge,0.88,0.72,0.4,Low,None,Yes,Yes,No,10,One-way,2,775,775,Abundant,Good,Yes,Heritage city to viewpoint hike,Nepal Tourism Board
227,Changu Narayan Hike,Bhaktapur,Bhaktapur,Easy,1,1550,1300,8,50,100,Year-round,No,None,0,No,Lodge,0.95,0.65,0.35,Low,None,Yes,Yes,No,8,One-way,2,250,250,Abundant,Good,Yes,UNESCO temple trek,Nepal Tourism Board
228,Champadevi Day Hike,Kathmandu,Kathmandu,Easy,1,2300,1400,10,60,120,Year-round,No,None,0,No,None,0.75,0.7,0.45,Low,None,Yes,Yes,No,8,Out-and-back,2,900,900,Abundant,Good,Yes,Valley rim viewpoint near city,Nepal Tourism Board
229,Jamacho Nagarjun Day Hike,Kathmandu,Kathmandu,Easy,1,2150,1400,8,40,80,Year-round,No,None,0,No,None,0.72,0.75,0.42,Low,None,Yes,Yes,No,6,Out-and-back,2,750,750,Abundant,Good,Yes,Forested hill in Shivapuri NP,DNPWC
230,Kakani to Shivapuri Trek,Kathmandu,Kathmandu|Nuwakot,Moderate,2,2732,1400,22,150,300,Year-round,Yes,National Park,1000,No,Teahouse,0.7,0.82,0.52,Moderate,Basic,Yes,No,Yes,20,Traverse,3,1332,1332,Abundant,Good,Yes,Valley rim traverse,DNPWC
231,Budhanilkantha to Chisapani,Kathmandu,Kathmandu,Moderate,1,2300,1400,15,100,200,Year-round,Yes,National Park,1000,No,Teahouse,0.68,0.78,0.5,Moderate,Basic,Yes,Yes,No,12,One-way,3,900,900,Abundant,Good,Yes,Popular weekend trek start,DNPWC
232,Godawari to Phulchoki,Lalitpur,Lalitpur,Moderate,1,2782,1500,10,80,160,Year-round,No,None,0,No,None,0.65,0.78,0.48,Moderate,Basic,Yes,Yes,No,8,Out-and-back,2,1282,1282,Abundant,Good,Yes,Highest point of Kathmandu Valley,Nepal Tourism Board
233,Hattiban Forest Walk,Lalitpur,Lalitpur,Easy,1,1800,1400,6,30,60,Year-round,No,None,0,No,None,0.68,0.7,0.38,Low,None,Yes,Yes,No,5,Loop,1,400,400,Abundant,Good,Yes,Quiet forest near city,Nepal Tourism Board
234,Lakuri Bhanjyang Trek,Lalitpur,Lalitpur,Easy,1,2050,1400,8,50,100,Year-round,No,None,0,No,None,0.72,0.72,0.42,Low,None,Yes,Yes,No,6,Out-and-back,2,650,650,Abundant,Good,Yes,Southern valley rim viewpoint,Nepal Tourism Board
235,Trisuli River Valley Trek,Nuwakot,Nuwakot|Rasuwa,Moderate,5,2000,500,45,400,800,Year-round,No,None,0,No,Teahouse,0.78,0.75,0.52,Moderate,Basic,Yes,Yes,No,30,One-way,4,1500,1500,Abundant,Good,Yes,River valley to highland trail,Nepal Tourism Board
236,Barpak Laprak Trek,Gorkha,Gorkha,Moderate,6,2800,600,55,500,900,Spring|Autumn|Winter,No,None,0,No,Homestay,0.88,0.78,0.55,Moderate,Basic,Yes,No,Yes,38,Loop,4,2200,2200,Abundant,Partial,Yes,Earthquake recovery villages,Nepal Tourism Board
237,Gorkha Durbar Trek,Gorkha,Gorkha,Easy,2,1400,400,15,150,300,Year-round,No,None,0,No,Lodge,0.92,0.68,0.4,Low,None,Yes,Yes,No,12,Out-and-back,3,1000,1000,Abundant,Good,Yes,Historic palace of Shah kings,Nepal Tourism Board
238,Manakamana to Gorkha Trek,Gorkha,Gorkha,Moderate,3,1400,400,28,300,600,Year-round,No,None,0,No,Teahouse,0.85,0.72,0.48,Moderate,Basic,Yes,Yes,No,22,Traverse,3,1000,1000,Abundant,Good,Yes,Temple to palace heritage trail,Nepal Tourism Board
239,Sarangkot Sunrise Trek,Kaski,Kaski,Easy,1,1600,800,6,50,100,Year-round,No,None,0,No,Lodge,0.82,0.7,0.4,Low,None,Yes,Yes,No,5,Out-and-back,2,800,800,Abundant,Good,Yes,Famous Annapurna viewpoint,Nepal Tourism Board
240,World Peace Pagoda Hike,Kaski,Kaski,Easy,1,1100,800,5,40,80,Year-round,No,None,0,No,Lodge,0.9,0.68,0.38,Low,None,Yes,Yes,No,4,Out-and-back,1,300,300,Abundant,Good,Yes,Buddhist stupa above Phewa Lake,Nepal Tourism Board
241,Begnas to Rupa Lake Trek,Kaski,Kaski,Easy,2,900,600,18,150,300,Year-round,No,None,0,No,Homestay,0.85,0.72,0.42,Low,None,Yes,Yes,No,15,Loop,2,300,300,Abundant,Good,Yes,Quiet lakes east of Pokhara,Nepal Tourism Board
242,Australian Camp Trek,Kaski,Kaski,Easy,2,2100,1100,16,150,300,Year-round,No,None,0,No,Teahouse,0.8,0.75,0.45,Low,None,Yes,Yes,No,12,Out-and-back,3,1000,1000,Abundant,Good,Yes,Popular short Annapurna views,Nepal Tourism Board
243,Panchase Hill Trek,Kaski,Kaski|Parbat|Syangja,Moderate,3,2500,800,28,250,500,Year-round,No,None,0,No,Teahouse,0.78,0.8,0.52,Moderate,Basic,Yes,No,Yes,25,Loop,4,1700,1700,Abundant,Partial,Yes,Sacred rhododendron forest peak,Nepal Tourism Board
244,Dhampus to Landruk Trek,Kaski,Kaski,Easy,3,1700,900,22,200,400,Year-round,Yes,ACAP,3000,No,Teahouse,0.82,0.78,0.48,Low,None,Yes,Yes,No,18,Traverse,3,800,800,Abundant,Good,Yes,Lower Annapurna village trail,NTNC-ACAP
245,Lwang Ghalel Cultural Trek,Kaski,Kaski,Easy,2,1600,1000,14,180,350,Year-round,No,None,0,No,Homestay,0.92,0.7,0.42,Low,None,Yes,Yes,No,12,Loop,2,600,600,Abundant,Good,Yes,Gurung culture and honey hunting,Nepal Tourism Board
246,Mardi Himal Short Trek,Kaski,Kaski,Moderate,5,3300,1100,38,450,800,Spring|Autumn|Winter,Yes,ACAP,3000,No,Teahouse,0.72,0.85,0.65,Moderate,Basic,Yes,No,Yes,35,Out-and-back,5,2200,2200,Moderate,Partial,No,Short Mardi Himal alternative,NTNC-ACAP
247,Sikles Model Trek,Kaski,Kaski,Moderate,4,2100,1000,32,350,650,Year-round,Yes,ACAP,3000,No,Homestay,0.88,0.78,0.55,Moderate,Basic,Yes,Yes,Yes,28,Loop,4,1100,1100,Abundant,Good,Yes,ACAP ecotourism model village,NTNC-ACAP
248,Kapuche Glacier Lake Trek,Kaski,Kaski,Hard,4,2600,1100,28,400,750,Spring|Autumn,Yes,ACAP,3000,No,Camping,0.62,0.88,0.72,High,Basic,Yes,Yes,Yes,35,Out-and-back,5,1500,1500,Moderate,Limited,No,World's lowest glacier lake,NTNC-ACAP
249,Ghorepani Express,Myagdi,Myagdi,Moderate,3,2870,1100,28,300,600,Spring|Autumn|Winter,Yes,ACAP,3000,No,Teahouse,0.78,0.82,0.58,Moderate,Basic,Yes,No,Yes,25,Out-and-back,4,1770,1770,Abundant,Partial,Yes,Quick Poon Hill alternative,NTNC-ACAP
250,Ulleri to Ghorepani Direct,Myagdi,Myagdi,Moderate,1,2870,2000,8,100,200,Spring|Autumn|Winter,Yes,ACAP,3000,No,Teahouse,0.75,0.8,0.55,Moderate,Basic,Yes,Yes,No,20,One-way,4,870,870,Abundant,Partial,Yes,Stone staircase to viewpoint,NTNC-ACAP
251,Ban Thanti to Tadapani,Myagdi|Kaski,Myagdi|Kaski,Moderate,1,2700,2600,6,80,160,Spring|Autumn|Winter,Yes,ACAP,3000,No,Teahouse,0.75,0.82,0.52,Moderate,Basic,Yes,Yes,No,18,One-way,3,100,100,Abundant,Partial,Yes,Rhododendron forest connector,NTNC-ACAP
252,Tadapani to Chhomrong,Kaski,Kaski,Moderate,1,2900,2200,10,100,200,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.78,0.85,0.55,Moderate,Basic,Yes,No,Yes,22,One-way,4,700,700,Abundant,Partial,Yes,Connector to ABC trail,NTNC-ACAP
253,Jhinu Hot Springs Detour,Kaski,Kaski,Moderate,1,1800,1780,3,40,80,Year-round,Yes,ACAP,3000,No,Teahouse,0.82,0.72,0.45,Low,None,Yes,Yes,No,8,Out-and-back,2,20,20,Abundant,Partial,Yes,Natural hot springs near ABC,NTNC-ACAP
254,Khopra Danda Side Trip,Myagdi,Myagdi,Hard,2,3660,2800,18,200,400,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.7,0.88,0.68,High,Basic,Yes,Yes,Yes,32,Out-and-back,5,860,860,Moderate,Limited,No,Extended Khopra viewpoint,NTNC-ACAP
255,Bayeli to Nangi Trek,Myagdi,Myagdi,Moderate,2,2400,1800,16,150,300,Year-round,Yes,ACAP,3000,No,Homestay,0.9,0.75,0.5,Moderate,Basic,Yes,Yes,No,22,Traverse,3,600,600,Abundant,Partial,Yes,Mahabir Pun's wireless village,NTNC-ACAP
256,Mohare Danda Trek,Myagdi,Myagdi,Moderate,4,3300,1000,35,350,700,Spring|Autumn|Winter,Yes,ACAP,3000,No,Teahouse,0.72,0.85,0.6,Moderate,Basic,Yes,No,Yes,30,Loop,5,2300,2300,Abundant,Partial,Yes,Community-run Annapurna viewpoint,NTNC-ACAP
257,Dana to Tatopani Valley Walk,Myagdi,Myagdi,Easy,1,1200,1100,8,60,120,Year-round,Yes,ACAP,3000,No,Teahouse,0.82,0.7,0.42,Low,None,Yes,Yes,No,10,One-way,2,100,100,Abundant,Good,Yes,Kali Gandaki riverside walk,NTNC-ACAP
258,Rupse Waterfall Viewpoint,Myagdi,Myagdi,Easy,1,1500,1200,4,30,60,Monsoon|Autumn,Yes,ACAP,3000,No,Teahouse,0.78,0.75,0.4,Low,None,Yes,Yes,No,5,Out-and-back,2,300,300,Abundant,Good,Yes,Spectacular waterfall during monsoon,NTNC-ACAP
